ID,FDR,p_value,t,B,logFC
11731706_at,0.0256,0.00000153,-1.68E+01,5.29841,-3.68
11753462_a_at,0.0256,0.00000253,-1.55E+01,4.97408,-4.11
11726218_a_at,0.0256,0.00000383,-1.45E+01,4.69309,-4.83
11716514_s_at,0.0256,0.00000442,-1.42E+01,4.59099,-3.35
11742024_a_at,0.0256,0.00000475,-1.40E+01,4.53965,-4.7
11727826_a_at,0.0256,0.00000526,-1.38E+01,4.46647,-3.22
11740298_a_at,0.0256,0.00000561,-1.37E+01,4.41953,-4.12
11722571_at,0.0256,0.00000594,-1.36E+01,4.37767,-4.23
11721512_a_at,0.0256,0.00000628,-1.34E+01,4.33634,-3.19
11737896_s_at,0.0256,0.00000667,-1.33E+01,4.29133,-3.88
11721891_at,0.0256,0.00000699,1.32E+01,4.25628,3.04
11731705_at,0.0256,0.00000829,-1.28E+01,4.12719,-3.83
11726278_at,0.0256,0.0000083,-1.28E+01,4.12606,-3.13
11719561_s_at,0.0256,0.00000867,-1.27E+01,4.09333,-4.79
11757995_s_at,0.0256,0.00000968,-1.25E+01,4.00814,-2.73
11715118_s_at,0.0256,0.00001092,-1.23E+01,3.91419,-4.03
11748318_a_at,0.0256,0.00001227,-1.21E+01,3.82241,-3.34
11715552_a_at,0.0256,0.00001255,-1.20E+01,3.80414,-2.92
11754358_x_at,0.0256,0.0000126,-1.20E+01,3.80084,-3.19
11751505_a_at,0.0256,0.00001282,-1.20E+01,3.78726,-4.26
11749416_a_at,0.0256,0.00001453,-1.17E+01,3.68702,-3.13
11752840_a_at,0.0256,0.00001475,-1.17E+01,3.67457,-3.88
11729305_a_at,0.0256,0.00001525,-1.16E+01,3.64797,-3.16
11744503_x_at,0.0256,0.00001539,-1.16E+01,3.6404,-3.81
11716315_at,0.0256,0.00001658,-1.15E+01,3.58015,-3.13
11736478_a_at,0.0256,0.00001661,-1.15E+01,3.57845,-3.96
11731466_a_at,0.0256,0.00001803,-1.13E+01,3.51133,-4.06
11745173_a_at,0.0256,0.0000182,-1.13E+01,3.50371,-2.89
11717863_a_at,0.0256,0.00001826,-1.13E+01,3.50092,-3.66
11721441_x_at,0.0256,0.00001853,-1.13E+01,3.48897,-4.2
11731993_at,0.0256,0.00001972,-1.12E+01,3.43751,-3.65
11739338_at,0.0256,0.00002139,-1.10E+01,3.36995,-3.24
11735751_a_at,0.0256,0.00002156,-1.10E+01,3.36346,-3.02
11743584_a_at,0.0256,0.00002189,-1.10E+01,3.35066,-2.61
11730096_a_at,0.0256,0.00002281,-1.09E+01,3.31634,-3.98
11753081_a_at,0.0256,0.00002284,-1.09E+01,3.31506,-2.48
11721346_a_at,0.0256,0.00002341,-1.08E+01,3.29449,-2.63
11723394_s_at,0.0256,0.00002351,-1.08E+01,3.29083,-2.68
11731611_a_at,0.0256,0.0000236,-1.08E+01,3.28767,-3.29
11727477_at,0.0256,0.00002566,-1.07E+01,3.21715,-2.6
11758829_s_at,0.0256,0.00002627,-1.06E+01,3.19724,-3.4
11753027_a_at,0.0256,0.00002628,-1.06E+01,3.19688,-3.28
11753503_a_at,0.0256,0.00002706,-1.06E+01,3.17217,-2.87
11735692_a_at,0.0256,0.0000271,-1.06E+01,3.17084,-2.56
11717377_s_at,0.0256,0.00002758,-1.06E+01,3.15592,-4.37
11734758_x_at,0.0256,0.00002781,-1.05E+01,3.14882,-3.19
11728862_at,0.0256,0.00002787,-1.05E+01,3.1471,-2.59
11752845_a_at,0.0256,0.00002836,-1.05E+01,3.13225,-2.59
11715832_s_at,0.0256,0.00002888,-1.05E+01,3.11661,-2.66
11757513_at,0.0256,0.00002906,-1.05E+01,3.11127,-4.96
11732216_s_at,0.0256,0.0000291,-1.05E+01,3.11028,-3.06
11758555_s_at,0.0256,0.00002917,-1.05E+01,3.10809,-5.01
11753631_a_at,0.0256,0.00002977,-1.04E+01,3.09084,-3
11730935_a_at,0.0256,0.00003,-1.04E+01,3.08418,-3.35
11750597_a_at,0.0256,0.0000306,-1.04E+01,3.06731,-3.18
11759559_at,0.0256,0.0000307,-1.04E+01,3.06443,-3.07
11754992_a_at,0.0256,0.0000308,-1.04E+01,3.06168,-4.31
11751763_a_at,0.0256,0.00003132,-1.03E+01,3.04726,-3.56
11738984_x_at,0.0256,0.00003182,-1.03E+01,3.03363,-3.38
11729614_x_at,0.0256,0.0000319,-1.03E+01,3.03155,-2.67
11728720_at,0.0256,0.00003212,-1.03E+01,3.02557,-3.3
11719343_x_at,0.0256,0.00003215,-1.03E+01,3.0247,-2.64
11717450_a_at,0.0258,0.00003321,-1.02E+01,2.99685,-3.77
11721275_a_at,0.0258,0.00003349,-1.02E+01,2.98964,-3.16
11743753_x_at,0.026,0.00003422,-1.02E+01,2.97099,-2.42
11732544_a_at,0.0274,0.00003781,-1.00E+01,2.88436,-4.05
11763422_a_at,0.0274,0.00003784,-1.00E+01,2.88361,-4.49
11758768_x_at,0.0274,0.00003808,-1.00E+01,2.87808,-3.13
11753632_x_at,0.0274,0.00003829,-1.00E+01,2.87327,-3.55
11722847_s_at,0.0276,0.00004333,-9.8,2.76508,-2.53
11724108_s_at,0.0276,0.00004367,-9.79,2.75813,-2.77
11744198_s_at,0.0276,0.00004368,-9.79,2.75807,-2.46
11762854_a_at,0.0276,0.0000441,-9.77,2.74952,-4.16
11723647_a_at,0.0276,0.00004495,-9.74,2.73279,-2.97
11744385_a_at,0.0276,0.0000454,-9.73,2.72391,-3.14
11716581_a_at,0.0276,0.00004544,-9.73,2.72321,-2.63
200033_PM_at,0.0276,0.00004727,-9.66,2.68829,-3.05
11745764_a_at,0.0276,0.00004772,-9.65,2.67996,-3.93
11719094_x_at,0.0276,0.00004797,-9.64,2.67521,-2.35
11738962_x_at,0.0276,0.00004804,-9.64,2.67387,-4.06
11748214_a_at,0.0276,0.00004966,-9.58,2.64449,-4.23
11717345_a_at,0.0276,0.00005139,-9.53,2.61414,-4.36
11717295_s_at,0.0276,0.00005212,9.51,2.60153,5.02
11748195_a_at,0.0276,0.00005222,-9.51,2.59985,-3.51
11730556_s_at,0.0276,0.00005237,-9.5,2.59723,-2.56
11743840_a_at,0.0276,0.00005244,-9.5,2.59617,-4.35
11725751_a_at,0.0276,0.00005257,-9.49,2.59388,-3.46
11739253_x_at,0.0276,0.00005328,-9.47,2.58202,-2.92
11730742_x_at,0.0276,0.00005367,-9.46,2.57543,-3.8
11749600_a_at,0.0276,0.00005429,-9.44,2.56512,-3.21
11749309_a_at,0.0276,0.00005479,-9.43,2.55695,-2.72
11730745_x_at,0.0276,0.00005538,-9.41,2.54736,-2.31
11718483_s_at,0.0276,0.00005674,-9.38,2.52576,-2.35
11747679_x_at,0.0276,0.00005681,-9.37,2.52465,-2.98
11727972_a_at,0.0276,0.00005733,-9.36,2.51635,-2.9
11721892_a_at,0.0276,0.00005768,-9.35,2.51103,-3.37
11753509_a_at,0.0276,0.00005769,-9.35,2.51078,-3.3
11723615_a_at,0.0276,0.00005783,-9.35,2.5086,-2.47
11721142_a_at,0.0276,0.00005794,-9.34,2.50694,-3.7
11753558_x_at,0.0276,0.0000585,-9.33,2.49826,-3.17
11715366_a_at,0.0276,0.00005862,-9.32,2.49644,-2.84
11758326_s_at,0.0276,0.00005883,-9.32,2.49322,-3.46
11746791_s_at,0.0276,0.00005992,-9.29,2.47683,-3.22
11742732_s_at,0.0276,0.00005995,-9.29,2.47628,-3.18
11742733_x_at,0.0276,0.00006032,-9.28,2.47076,-2.56
11722989_a_at,0.0276,0.00006146,-9.25,2.45395,-3.57
11763890_at,0.0276,0.00006269,-9.22,2.43604,-2.78
11750783_a_at,0.0276,0.00006312,-9.21,2.42987,-2.66
11744699_a_at,0.0276,0.00006376,-9.19,2.42084,-3.49
11737533_a_at,0.0276,0.00006401,-9.19,2.41723,-2.26
11728027_x_at,0.0276,0.00006415,-9.19,2.41531,-2.9
11746085_at,0.0276,0.00006466,9.17,2.40812,2.21
11763403_a_at,0.0276,0.00006535,-9.16,2.39854,-2.42
11718400_a_at,0.0276,0.00006554,-9.15,2.39601,-4.01
11752993_a_at,0.0276,0.00006557,-9.15,2.3955,-4.03
11726038_s_at,0.0276,0.00006576,-9.15,2.39294,-3.11
11759509_s_at,0.0276,0.00006577,-9.15,2.39278,-3.36
11756360_x_at,0.0276,0.00006606,-9.14,2.38877,-2.43
11752382_a_at,0.0276,0.0000666,-9.13,2.38151,-4.54
11749708_a_at,0.0278,0.00006779,-9.1,2.36538,-2.66
11757721_s_at,0.0278,0.00006861,-9.08,2.35454,-2.85
11721513_a_at,0.0278,0.00006878,-9.08,2.35223,-4.4
11760294_a_at,0.028,0.00007057,-9.04,2.32895,-2.79
11730110_a_at,0.028,0.00007096,-9.03,2.32399,-4.17
11732302_a_at,0.028,0.00007133,-9.02,2.31929,-2.32
11731401_a_at,0.028,0.00007364,-8.98,2.2902,-3
11763556_at,0.028,0.00007384,-8.97,2.28771,-3.35
11730741_a_at,0.028,0.00007559,-8.94,2.26645,-3.74
11744373_s_at,0.028,0.00007627,-8.92,2.25831,-3.13
11729613_a_at,0.028,0.00007635,-8.92,2.25726,-2.56
11745183_a_at,0.028,0.00007674,-8.91,2.25261,-2.78
11720062_s_at,0.028,0.00007734,-8.9,2.2455,-3.84
11750065_a_at,0.028,0.00007746,-8.9,2.24414,-3.01
11748221_a_at,0.028,0.00007801,-8.89,2.23771,-2.02
11756562_a_at,0.028,0.00007843,-8.88,2.23276,-2.74
11740092_x_at,0.028,0.00007884,-8.87,2.228,-3.44
11746075_a_at,0.028,0.00007908,-8.87,2.2252,-2.15
11761465_at,0.028,0.00007934,-8.87,2.22224,-3.38
11754018_a_at,0.028,0.0000798,-8.86,2.21688,-2.15
11750741_a_at,0.028,0.00008041,-8.85,2.20996,-2.2
11747515_a_at,0.028,0.00008066,-8.84,2.20712,-3.7
11718106_s_at,0.028,0.0000809,-8.84,2.20436,-3.26
11744827_a_at,0.028,0.00008105,-8.83,2.20269,-3.96
11715699_s_at,0.028,0.00008283,-8.8,2.18278,-3.02
11756207_s_at,0.028,0.00008313,-8.8,2.1795,-2.87
11716866_x_at,0.028,0.00008317,-8.8,2.17908,-2.35
11728273_a_at,0.028,0.00008353,-8.79,2.17509,-2.27
11716865_a_at,0.028,0.0000839,-8.78,2.17098,-2.52
11730781_a_at,0.028,0.00008475,-8.77,2.16182,-2.5
11715757_a_at,0.028,0.00008495,-8.76,2.15959,-4.95
11736117_a_at,0.0286,0.00008733,-8.72,2.13425,-2.64
11734757_a_at,0.0288,0.00009018,-8.68,2.10463,-4.1
11729163_a_at,0.0288,0.00009059,-8.67,2.10044,-2.47
11753719_a_at,0.0288,0.00009063,-8.67,2.10008,-2.72
11752735_a_at,0.0288,0.00009065,-8.67,2.09983,-2.36
11751186_a_at,0.0288,0.00009278,-8.64,2.07846,-3.15
11722298_a_at,0.0288,0.00009293,-8.63,2.077,-4.1
11724324_a_at,0.0288,0.00009329,-8.63,2.07335,-3.13
11717241_a_at,0.0288,0.0000942,-8.61,2.06438,-2.87
11728404_at,0.0288,0.00009472,-8.61,2.05932,-3.09
11742778_s_at,0.0288,0.00009499,-8.6,2.05674,-2.58
11754135_a_at,0.0288,0.00009516,-8.6,2.05509,-2.46
11742960_a_at,0.0288,0.00009555,-8.59,2.05131,-2.79
11722575_a_at,0.0288,0.00009564,-8.59,2.05038,-1.88
11736438_x_at,0.0295,0.00009888,-8.54,2.01962,-2.9
11721562_a_at,0.0295,0.00009909,-8.54,2.01764,-2.19
11715189_s_at,0.0295,0.00009987,-8.53,2.0104,-2.15
11754062_x_at,0.0295,0.00010038,-8.52,2.00564,-1.95
11715587_at,0.0297,0.00010206,-8.5,1.99027,-3.31
11737891_a_at,0.0297,0.00010276,-8.49,1.9839,-2.83
11745164_x_at,0.0297,0.0001029,-8.49,1.9826,-2.02
11743926_a_at,0.0301,0.00010523,-8.45,1.9618,-2.91
11721069_a_at,0.0301,0.00010539,-8.45,1.96041,-2.81
11754525_s_at,0.0301,0.00010621,-8.44,1.95319,-2.44
11716515_x_at,0.0301,0.00010706,-8.43,1.9458,-3.99
11719378_a_at,0.0301,0.00010784,-8.42,1.93902,-2.43
11720510_a_at,0.0301,0.00010827,-8.41,1.93539,-3.21
11752929_a_at,0.0301,0.00010839,-8.41,1.93428,-3.01
11716058_a_at,0.0302,0.00010979,-8.39,1.92237,-2.07
11748047_a_at,0.0302,0.00011073,-8.38,1.91442,-3.08
11720104_a_at,0.0302,0.00011297,-8.35,1.89573,-3.03
11749723_a_at,0.0302,0.00011312,-8.35,1.89451,-4.31
11749469_a_at,0.0302,0.00011314,-8.35,1.89433,-3
11720447_s_at,0.0302,0.00011354,8.35,1.89104,1.92
11753740_x_at,0.0302,0.00011429,-8.34,1.88491,-1.91
11738961_at,0.0302,0.00011432,-8.34,1.88465,-4.11
11743560_a_at,0.0302,0.0001145,-8.34,1.88317,-2.85
11747268_s_at,0.0303,0.00011614,-8.32,1.86995,-2.81
11750085_a_at,0.0303,0.00011624,-8.31,1.86916,-4.6
11718993_at,0.0303,0.00011662,-8.31,1.86604,-2.54
11716070_a_at,0.0304,0.00011739,-8.3,1.85993,-2.33
11748434_a_at,0.0304,0.00011822,-8.29,1.85333,-2.14
11729414_s_at,0.0311,0.00012236,-8.24,1.82114,-2.48
11743763_at,0.0311,0.00012263,-8.24,1.81905,-2.26
11719800_at,0.0311,0.00012324,-8.23,1.81443,-2.77
11744273_a_at,0.0311,0.00012469,-8.22,1.80346,-3.54
11756065_x_at,0.0311,0.00012587,8.2,1.79462,3.81
11715121_s_at,0.0311,0.00012656,-8.2,1.7895,-2.54
11722572_at,0.0311,0.00012659,-8.2,1.78921,-3.92
11730991_a_at,0.0311,0.00012725,-8.19,1.78438,-3.49
11715589_at,0.0311,0.00012802,-8.18,1.77869,-2.24
11718405_a_at,0.0311,0.00012861,-8.17,1.77441,-3.1
11735578_a_at,0.0311,0.00012892,-8.17,1.77211,-3.31
11716527_a_at,0.0311,0.00013001,-8.16,1.76424,-2.28
11746467_a_at,0.0311,0.00013079,-8.15,1.7586,-2.38
11754859_x_at,0.0311,0.00013182,-8.14,1.75121,-3.29
11757620_s_at,0.0311,0.00013294,-8.13,1.74329,-1.95
11749786_x_at,0.0311,0.00013309,-8.13,1.74222,-1.99
11738059_x_at,0.0311,0.0001339,-8.12,1.73646,-3.11
11751980_a_at,0.0311,0.0001342,-8.11,1.73435,-2.35
11721865_at,0.0311,0.00013502,-8.11,1.72863,-2.63
11749838_a_at,0.0311,0.00013531,-8.1,1.7266,-2.89
11733001_a_at,0.0311,0.00013531,-8.1,1.7266,-3.4
11715691_s_at,0.0311,0.00013582,-8.1,1.72311,-3.73
11736925_s_at,0.0311,0.00013582,-8.1,1.7231,-3.55
11744067_s_at,0.0311,0.000136,-8.1,1.72183,-2.29
11746964_a_at,0.0311,0.00013683,-8.09,1.71609,-3.15
11722840_s_at,0.0311,0.00013814,-8.07,1.70711,-2.85
11715766_a_at,0.0311,0.00013947,-8.06,1.69806,-4.47
11723706_at,0.0311,0.00014021,-8.05,1.69308,-2.51
11718031_a_at,0.0311,0.00014025,-8.05,1.6928,-3.41
11756799_s_at,0.0311,0.00014069,-8.05,1.68989,-2.52
11762156_x_at,0.0311,0.00014174,8.04,1.68286,2.21
11756275_a_at,0.0311,0.00014182,-8.04,1.68233,-2.51
11744717_a_at,0.0311,0.00014227,-8.03,1.67934,-2.33
11749299_a_at,0.0311,0.00014264,-8.03,1.67686,-2.55
11717432_a_at,0.0311,0.00014307,-8.03,1.67407,-1.89
11750078_a_at,0.0311,0.00014492,-8.01,1.66192,-3.65
11750185_a_at,0.0311,0.00014549,-8,1.65822,-2.93
11728272_x_at,0.0311,0.0001459,-8,1.65553,-2.47
11757107_s_at,0.0311,0.000146,-8,1.6549,-2.31
11727785_s_at,0.0311,0.00014735,-7.99,1.64616,-2.56
11756536_a_at,0.0311,0.00014735,-7.99,1.64615,-2.41
11749955_a_at,0.0311,0.00014753,-7.99,1.64501,-2.49
11715778_a_at,0.0313,0.00014908,-7.97,1.63512,-2.32
11758592_s_at,0.0313,0.00014995,-7.96,1.62962,-2.8
11717994_a_at,0.0313,0.00014999,-7.96,1.62935,-2.16
11757894_x_at,0.0313,0.00015062,-7.96,1.62538,-2.9
11751031_a_at,0.0313,0.00015127,-7.95,1.62134,-2.39
11759626_at,0.0313,0.0001521,-7.94,1.61616,-2.54
11742735_a_at,0.0314,0.00015393,-7.93,1.60481,-4.61
11743824_s_at,0.0314,0.00015432,-7.92,1.60244,-3.59
11719325_s_at,0.0314,0.00015478,-7.92,1.59958,-2.28
11739523_at,0.0314,0.00015505,-7.92,1.59793,-2.78
11755306_x_at,0.0315,0.00015666,-7.9,1.58814,-2.92
11719665_a_at,0.0315,0.00015729,-7.9,1.58435,-2.54
11753793_x_at,0.0315,0.00015752,-7.9,1.58299,-2.94
11717243_x_at,0.0317,0.00016081,-7.87,1.56335,-2.69
11716385_at,0.0317,0.00016128,-7.87,1.56057,-2.7
11722022_s_at,0.0317,0.00016246,-7.86,1.55366,-2.58
11757037_s_at,0.0317,0.00016258,-7.85,1.55292,-2.05
11759823_at,0.0317,0.00016261,-7.85,1.55277,-2.16
11737708_a_at,0.0317,0.000163,-7.85,1.55048,-3.81
11739257_a_at,0.0317,0.00016344,7.85,1.54793,2.08
11730285_at,0.0317,0.00016377,-7.84,1.546,-3.64
11715892_a_at,0.032,0.00016563,-7.83,1.53527,-2.8
11757878_s_at,0.0323,0.00016803,-7.81,1.52159,-2.01
11749013_x_at,0.0325,0.0001699,-7.8,1.51106,-2.21
11756685_a_at,0.0327,0.00017281,-7.77,1.49488,-3.09
11725729_s_at,0.0327,0.00017291,-7.77,1.4943,-2.53
11723773_a_at,0.0327,0.00017312,-7.77,1.49317,-2.1
11727860_at,0.0327,0.00017328,-7.77,1.49228,-2.01
11721347_a_at,0.0328,0.00017569,-7.75,1.47908,-4.09
11730853_s_at,0.0328,0.00017596,-7.75,1.47764,-2.4
11715839_a_at,0.0328,0.00017622,-7.75,1.47624,-2.37
11746792_x_at,0.033,0.00017795,-7.73,1.46689,-2.41
11747282_x_at,0.033,0.00017887,-7.73,1.46197,-2.49
11744474_s_at,0.033,0.00017923,-7.72,1.46007,-3.48
11728793_s_at,0.033,0.00017984,-7.72,1.45683,-2.37
11728271_at,0.033,0.00018037,-7.72,1.454,-2.78
11721136_a_at,0.033,0.00018096,-7.71,1.45088,-2.79
11716128_at,0.033,0.00018182,-7.71,1.44638,-2.4
11741720_s_at,0.0331,0.00018288,-7.7,1.44083,-2.15
11756199_a_at,0.0331,0.00018358,-7.69,1.43718,-1.84
11745197_s_at,0.0331,0.00018469,-7.69,1.43139,-2.78
11740310_a_at,0.0331,0.00018534,-7.68,1.42806,-3.04
11747474_a_at,0.0331,0.00018582,-7.68,1.42558,-3.88
11717550_a_at,0.0334,0.00018797,-7.66,1.41459,-3.03
11757320_x_at,0.0337,0.00019033,-7.65,1.40262,-1.89
11719857_a_at,0.0338,0.00019178,-7.64,1.39536,-2.86
11722565_a_at,0.0339,0.00019288,-7.63,1.38987,-2.15
11726787_s_at,0.0342,0.00019534,7.61,1.37775,1.7
11763954_at,0.0344,0.00019801,-7.59,1.36475,-3.58
11729280_a_at,0.0344,0.0001983,-7.59,1.36332,-2.22
11733895_a_at,0.0344,0.00019846,-7.59,1.36257,-2.25
11741458_a_at,0.0344,0.00019981,-7.58,1.35606,-3.25
11717146_at,0.0344,0.00020107,-7.57,1.35002,-3.02
11726977_s_at,0.0344,0.00020156,-7.57,1.34768,-3.1
11753200_a_at,0.0344,0.00020189,-7.57,1.34609,-2.16
11723326_at,0.0344,0.00020199,7.57,1.34563,2.3
11718720_a_at,0.0345,0.00020706,-7.54,1.32183,-3.18
11731599_a_at,0.0345,0.00020709,-7.54,1.32169,-3.3
11715677_x_at,0.0345,0.00020714,-7.54,1.32148,-3.01
11744100_a_at,0.0345,0.00020771,-7.53,1.3188,-3.12
11740354_a_at,0.0345,0.00020913,-7.52,1.31227,-2.32
11726883_s_at,0.0345,0.00020971,-7.52,1.30961,-1.91
11729567_a_at,0.0345,0.00020992,7.52,1.30866,1.78
11739239_a_at,0.0345,0.00021033,-7.52,1.30677,-2.38
11717459_a_at,0.0345,0.00021097,-7.51,1.30386,-3.86
11760685_x_at,0.0345,0.00021159,-7.51,1.30102,-2.3
11742710_a_at,0.0345,0.00021199,-7.51,1.29921,-2.98
11718253_a_at,0.0345,0.0002121,-7.51,1.29869,-2.67
11746622_a_at,0.0345,0.0002127,-7.5,1.29601,-2.27
11754716_s_at,0.0345,0.00021282,-7.5,1.29546,-2.47
11751899_a_at,0.0345,0.00021318,7.5,1.29384,2.3
11747288_s_at,0.0345,0.00021491,-7.49,1.28602,-3.04
11729168_x_at,0.0345,0.00021502,-7.49,1.28556,-1.79
11725079_a_at,0.0345,0.00021699,-7.48,1.27677,-1.96
11718976_x_at,0.0345,0.00021802,-7.47,1.2722,-2.36
11743251_s_at,0.0345,0.00021898,7.46,1.26797,4.3
11724689_a_at,0.0345,0.00021939,-7.46,1.26619,-4
11717403_a_at,0.0345,0.00021974,-7.46,1.26466,-3.29
11751359_a_at,0.0345,0.00022096,-7.45,1.2593,-2.57
11718182_at,0.0345,0.00022153,-7.45,1.25681,-1.96
11717665_a_at,0.0345,0.00022167,-7.45,1.25623,-2.47
11725341_a_at,0.0345,0.00022224,-7.45,1.25374,-2
11730898_a_at,0.0345,0.00022368,-7.44,1.24752,-1.75
11733262_a_at,0.0345,0.00022397,-7.44,1.24625,-4.15
11718151_a_at,0.0345,0.00022401,-7.44,1.24609,-1.84
11751466_a_at,0.0345,0.00022568,-7.43,1.23892,-2.56
11747579_x_at,0.0345,0.00022663,-7.42,1.23488,-2.6
11740781_a_at,0.0345,0.00022671,-7.42,1.23455,-4.15
11716685_s_at,0.0345,0.00022715,-7.42,1.23268,-3.15
11736851_a_at,0.0345,0.00022718,-7.42,1.23256,-4.58
11752002_a_at,0.0345,0.00022972,-7.4,1.22183,-3.68
11719635_a_at,0.0345,0.00022982,-7.4,1.22138,-3.59
11716053_a_at,0.0345,0.00023071,-7.4,1.21767,-3.29
11753399_x_at,0.0345,0.00023097,-7.4,1.21658,-1.67
11739019_x_at,0.0345,0.00023168,-7.39,1.2136,-1.81
11757164_s_at,0.0345,0.00023184,-7.39,1.21292,-3.14
11741904_at,0.0345,0.00023186,7.39,1.21285,1.72
11724651_a_at,0.0345,0.00023206,-7.39,1.21201,-2.98
11727837_at,0.0345,0.00023251,-7.39,1.21017,-2.43
11755305_a_at,0.0346,0.00023398,-7.38,1.20408,-2.87
11719470_a_at,0.0347,0.00023643,-7.37,1.194,-2.58
11736675_a_at,0.0347,0.00023706,-7.36,1.19141,-2.73
11726756_a_at,0.0347,0.00023717,-7.36,1.19099,-4.29
11759828_s_at,0.0347,0.00023848,-7.36,1.18568,-2.73
11758373_s_at,0.0347,0.00023908,7.35,1.18323,1.8
11742506_at,0.0347,0.0002394,7.35,1.18193,1.92
11717208_at,0.0347,0.00023992,-7.35,1.17982,-2.05
11717186_a_at,0.0347,0.00024086,-7.34,1.17606,-3.21
11737909_at,0.0347,0.00024099,7.34,1.17555,1.93
11755436_x_at,0.0347,0.00024171,-7.34,1.17266,-2.75
11716059_x_at,0.0347,0.00024219,-7.34,1.17073,-1.91
11731612_s_at,0.0347,0.00024317,-7.33,1.16681,-2.11
11745602_s_at,0.0348,0.00024434,-7.32,1.16218,-3.96
11743273_s_at,0.035,0.00024723,-7.31,1.1508,-3.27
11717076_s_at,0.035,0.00024762,-7.31,1.14927,-2.97
11741494_a_at,0.0354,0.00025123,-7.29,1.13526,-2.54
11755079_a_at,0.0354,0.00025175,-7.29,1.13326,-2.37
11742946_s_at,0.0358,0.00025552,-7.27,1.11885,-2.4
11750279_a_at,0.0358,0.00025587,7.27,1.11751,1.64
11736066_x_at,0.0359,0.0002589,-7.25,1.10608,-2.83
11719138_at,0.0359,0.00025952,-7.25,1.10375,-1.96
11718778_s_at,0.0359,0.00025974,-7.25,1.10294,-2.3
11720286_a_at,0.0359,0.00026084,-7.24,1.09884,-2.19
11737709_x_at,0.0359,0.00026174,-7.24,1.09549,-2.1
11718365_s_at,0.0359,0.00026285,-7.23,1.09141,-2.26
11718981_a_at,0.0359,0.00026294,-7.23,1.09108,-2.87
11718582_a_at,0.0359,0.00026427,-7.23,1.08618,-1.67
11733096_a_at,0.0359,0.00026474,-7.22,1.08445,-1.77
11755126_s_at,0.0359,0.00026498,-7.22,1.08355,-2.75
11729309_a_at,0.0359,0.00026538,7.22,1.08208,1.71
11754257_a_at,0.0359,0.00026547,-7.22,1.08176,-2.83
11725720_x_at,0.0359,0.00026692,-7.21,1.07648,-1.64
11736918_x_at,0.0359,0.00026712,-7.21,1.07576,-3.31
11717856_a_at,0.0359,0.00026787,-7.21,1.07304,-2.86
11741215_at,0.0359,0.00026813,-7.21,1.07207,-2.73
11745900_s_at,0.0359,0.00026891,-7.2,1.06927,-2.29
11751761_a_at,0.0359,0.00027067,-7.2,1.06293,-3.56
11715482_a_at,0.0359,0.00027128,-7.19,1.06073,-2.57
11744467_s_at,0.0359,0.00027206,-7.19,1.05795,-3.26
200037_PM_s_at,0.0359,0.00027241,-7.19,1.05669,-2.19
11763188_a_at,0.0359,0.00027247,-7.19,1.05648,-3.98
11746260_x_at,0.0359,0.00027337,-7.18,1.05329,-2.81
11753511_a_at,0.0359,0.00027364,-7.18,1.05232,-1.98
11757844_s_at,0.0361,0.00027601,-7.17,1.04391,-2.47
11755600_a_at,0.0361,0.00027771,-7.16,1.03794,-2.31
11724670_a_at,0.0361,0.00027821,7.16,1.03621,1.71
11743683_a_at,0.0361,0.00027846,-7.16,1.03533,-3.33
11761629_x_at,0.0364,0.00028166,-7.15,1.0242,-3.08
11723400_a_at,0.0365,0.0002831,-7.14,1.01925,-1.77
11744000_a_at,0.0365,0.00028365,-7.14,1.01736,-3.28
11719064_a_at,0.0366,0.0002854,-7.13,1.01138,-2.49
11721088_a_at,0.0366,0.00028601,-7.13,1.0093,-2.77
11745067_a_at,0.0367,0.00028751,-7.12,1.00418,-2.35
11745878_x_at,0.0368,0.0002904,-7.11,0.99444,-2.3
11738475_a_at,0.0368,0.00029054,-7.11,0.99399,-4.34
11756478_a_at,0.0368,0.00029163,-7.1,0.99033,-2.47
11718124_a_at,0.0368,0.00029193,-7.1,0.98932,-2.66
11719275_a_at,0.0368,0.00029317,-7.1,0.9852,-2.62
11717255_x_at,0.0368,0.00029361,-7.1,0.98372,-2.44
11715392_x_at,0.0368,0.00029386,-7.09,0.98288,-1.69
11734082_a_at,0.0368,0.00029826,-7.08,0.9684,-2.69
11748644_x_at,0.0368,0.00029832,7.08,0.96821,1.61
11761500_at,0.0368,0.00029936,7.07,0.9648,1.92
11744924_a_at,0.0368,0.00030016,-7.07,0.96221,-1.92
11754467_s_at,0.0368,0.00030087,-7.07,0.95991,-3.69
11740486_a_at,0.0368,0.00030105,-7.07,0.95933,-2.73
11757044_x_at,0.0368,0.00030113,-7.06,0.95905,-2.66
11736604_a_at,0.0368,0.00030123,-7.06,0.95873,-2.33
11749769_a_at,0.0368,0.0003015,7.06,0.95787,1.57
11740061_a_at,0.0368,0.00030292,-7.06,0.95328,-2.17
11756318_x_at,0.0368,0.00030473,-7.05,0.94744,-3.42
11727804_s_at,0.0368,0.00030611,-7.04,0.94303,-1.78
11746044_a_at,0.0368,0.00030674,-7.04,0.94103,-3.22
11762459_at,0.0368,0.00030708,7.04,0.93996,1.56
11739113_a_at,0.0368,0.00030874,-7.03,0.93469,-2.37
11720985_at,0.0368,0.00030878,-7.03,0.93457,-2.21
11716331_a_at,0.0368,0.00030983,-7.03,0.93126,-3.4
