prob_id,control_1,control_2,control_3,case_1,case_2,case_3,logFC,p_value,t,FDR
11731466_a_at,9.22,9.09,9.91,5.38,5.78,4.89,-4.0566666666666675,0.00036071971271659696,11.209094088962562,0.04873948604322126
11721441_x_at,10.57,10.46,11.27,7.06,6.58,6.06,-4.199999999999999,0.000398272744526395,10.927639876737688,0.01911314401937859
11723647_a_at,8.05,8.11,7.75,4.58,5.44,4.98,-2.9699999999999998,0.0004010542933513324,10.908114430627075,0.03975017263065965
11730096_a_at,9.46,10.25,9.54,6.01,6.08,5.22,-3.9800000000000004,0.00043658085643246515,10.672632360185819,0.03716837542704822
11715589_at,7.7,8.4,7.87,5.75,5.8,5.71,-2.2366666666666672,0.000459881643790713,10.530754865134629,0.00029575276524625323
11720485_s_at,7.92,7.76,8.04,6.34,6.42,5.98,-1.6599999999999993,0.0004613404775500434,10.522170471370044,0.010815937990433571
11729163_a_at,7.8,7.89,8.1,5.36,5.15,5.88,-2.466666666666666,0.0004617055545835736,10.520027479669398,0.04843539116852633
11716865_a_at,9.1,9.69,9.49,6.86,7.21,6.64,-2.5233333333333343,0.0004620602365724346,10.517947522079588,0.0013823211812617716
11715366_a_at,9.26,9.72,9.72,6.79,7.08,6.31,-2.8400000000000016,0.0004746215185002879,10.44553847399568,0.00016820816305727928
11717994_a_at,8.35,8.17,8.41,6.52,6.08,5.86,-2.156666666666667,0.00047928969169110656,10.419233432033451,0.002563385084690854
11725079_a_at,8.33,8.53,8.48,6.34,6.84,6.27,-1.9633333333333338,0.0004875751195124726,10.37332006788421,0.02169506778451552
11716059_x_at,10.75,10.56,10.7,8.74,9.07,8.46,-1.913333333333334,0.0004956761881345944,10.329356023243783,0.0009821085695854539
11727972_a_at,8.14,7.72,8.62,5.3,5.42,5.05,-2.9033333333333315,0.0005014616078827188,10.298501639891207,0.04660540315839889
11716070_a_at,8.37,8.03,7.92,6.02,5.89,5.42,-2.330000000000001,0.0005084774339736911,10.261673336019458,0.0024530615651433677
11718182_at,7.48,8.08,7.96,5.78,5.97,5.88,-1.9633333333333338,0.0005086163835881828,10.260950329730477,0.0023364641900693785
11716527_a_at,10.9,10.45,10.99,8.43,8.79,8.29,-2.276666666666669,0.0005257458026705526,10.173653091080974,0.0022326016348558136
11722657_x_at,6.98,6.95,7.01,5.02,5.59,5.31,-1.6733333333333338,0.000538054176952217,10.113078198518522,0.013181853808033694
11717947_a_at,9.02,9.04,8.63,7.52,7.3,7.33,-1.5133333333333336,0.0005456692164618257,10.076456488739423,0.00207428943315155
11723178_s_at,8.3,8.02,8.04,6.36,6.75,6.32,-1.6433333333333326,0.0005595487285108574,10.01131318821747,0.014146013929170786
11719378_a_at,7.26,7.49,7.01,4.55,4.7,5.21,-2.4333333333333327,0.0005601676634037725,10.008455072204237,0.020036719580166347
11717450_a_at,8.52,7.75,7.59,4.17,4.61,3.76,-3.7733333333333325,0.0005640225245403577,9.990741936566053,0.0017796132700378053
11717086_x_at,10.58,10.28,10.36,8.43,8.84,8.88,-1.6899999999999995,0.0005681604286939846,9.971894740696744,0.0019277976031904355
11728027_x_at,9.33,9.26,9.7,6.04,6.92,6.62,-2.9033333333333324,0.0005756445870313238,9.93823524193276,0.027560190588352865
11717377_s_at,9.26,9.57,9.12,4.34,5.77,4.74,-4.3666666666666645,0.0006110794004917493,9.785934238925345,0.0033745272367398326
11716624_s_at,7.29,7.09,7.32,5.99,5.67,5.51,-1.5099999999999998,0.0006778193331267122,9.526819147049682,0.0011515481732350418
11722192_s_at,9.75,9.58,10.14,8.07,8.23,7.97,-1.7333333333333325,0.000682093955481561,9.5113110807294,0.02766930583379475
11719138_at,8.04,8.61,8.2,6.31,6.12,6.53,-1.963333333333333,0.0006893652609515905,9.485206323752228,0.01044108129035576
11719325_s_at,9.16,8.92,8.79,6.4,6.52,7.1,-2.2833333333333323,0.0007010371025440344,9.444009615635947,0.008329699232246881
11722565_a_at,5.9,5.78,6.41,3.66,4.08,3.91,-2.146666666666667,0.0007144502180283349,9.397705327226246,0.023505028861603303
11715778_a_at,10.24,10.06,10.15,7.5,7.68,8.3,-2.3233333333333333,0.0007210363442122142,9.375362003746012,0.0005288508337306008
11726038_s_at,8.83,8.22,9.2,5.46,5.49,5.98,-3.1066666666666665,0.0007240982176743244,9.365060697827348,0.024238778129208945
11729414_s_at,9.05,8.96,8.6,6.3,6.82,6.05,-2.4799999999999986,0.0007282194180900982,9.351280420222142,0.03370538123059184
11725751_a_at,8.25,7.55,7.25,4.29,3.8,4.57,-3.463333333333334,0.0007410089087866918,9.309124001563578,0.04142195097756887
11718993_at,8.48,9.09,8.62,6.03,6.59,5.94,-2.5433333333333312,0.0007551223173065212,9.263638912232405,0.008513964813267402
11721892_a_at,9.76,9.84,9.88,5.9,7.14,6.34,-3.366666666666668,0.0007650361168436044,9.232314354605032,0.015819547356842524
11721276_s_at,5.34,5.81,5.25,3.78,3.43,3.63,-1.8533333333333326,0.0007695741574649013,9.218143068279412,0.03364553750297791
11722852_s_at,8.02,8.49,7.92,6.54,6.51,6.54,-1.6133333333333324,0.000786428670796153,9.166403630850688,0.011813148490774042
11717208_at,7.2,7.13,6.87,4.76,5.41,4.87,-2.0533333333333337,0.0007937826001618146,9.144257904406489,0.02030340550018708
11725461_s_at,7.56,7.26,7.22,5.32,5.76,5.81,-1.7166666666666668,0.0008156387923783075,9.079913235848222,0.027767407418951978
11715391_s_at,9.88,9.71,10.22,8.52,8.24,8.41,-1.5466666666666686,0.0008208139932513186,9.064990115908957,0.0013912588603800858
11717769_at,5.38,5.68,5.34,3.85,3.65,4.13,-1.5899999999999994,0.0008271700840214957,9.046820658594761,0.006463322235347985
11715121_s_at,11.45,11.06,10.8,8.15,8.69,8.84,-2.543333333333333,0.0008381404402518966,9.015864574095533,0.00034898711281579846
11722240_a_at,5.91,6.04,6.13,4.01,4.56,3.94,-1.8566666666666665,0.000842040887817148,9.004979165148992,0.03323500361169891
11717248_s_at,8.4,8.21,8.68,6.81,6.85,6.42,-1.7366666666666672,0.0008529880986850832,8.974758537207967,0.0037096555604599762
11715774_s_at,8.66,8.87,8.51,7.44,7.05,7.04,-1.503333333333333,0.0008638765103101109,8.945173504871663,0.000513073550574643
11717241_a_at,8.9,9.36,9.91,6.34,6.78,6.45,-2.8666666666666654,0.0008640315140178945,8.944755684881732,0.008435955357665491
11715699_s_at,8.12,7.87,8.24,4.45,5.54,5.17,-3.0233333333333325,0.0008646771289242555,8.94301639775372,0.0005650141089657484
11719270_s_at,8.11,7.61,7.79,5.9,6.31,6.2,-1.6999999999999993,0.0008763738855129475,8.9117813779426,0.009761094323369194
11718486_a_at,8.94,8.82,8.93,6.59,6.97,7.33,-1.9333333333333327,0.0008784736066501463,8.906228993157896,0.014331334200614278
11729280_a_at,7.53,7.34,6.93,4.78,4.97,5.38,-2.2233333333333336,0.0008885060906408853,8.879924903317042,0.030881454157378047
11723706_at,8.47,8.29,8.63,5.48,5.99,6.4,-2.506666666666666,0.0009050750857937408,8.83727901252733,0.013709705580396506
11728272_x_at,7.07,6.51,6.91,4.48,4.67,3.92,-2.4733333333333345,0.0009068738948892458,8.832707455036354,0.031090204652518313
11722989_a_at,7.51,7.76,8.08,3.58,4.2,4.86,-3.5700000000000003,0.0009114349397594171,8.821166058188949,0.03018956628041069
11721142_a_at,8.67,7.61,8.27,3.94,4.91,4.59,-3.703333333333334,0.0009183177134043056,8.80388454294614,0.006421486503317663
11721069_a_at,7.89,8.68,8.3,5.03,5.75,5.65,-2.8133333333333344,0.0009291871639404648,8.776917533425873,0.013449222431498303
11715839_a_at,8.51,8.21,8.09,6.37,5.55,5.77,-2.373333333333334,0.000991642233797308,8.62919374703421,0.0014037450356485387
11718106_s_at,6.91,6.08,7.01,3.49,3.77,2.96,-3.2600000000000007,0.0009991805696627255,8.612145183693345,0.006354691021870471
11721865_at,6.4,7.02,7.2,3.99,4.61,4.12,-2.633333333333333,0.0010166267655000955,8.573293088144183,0.01072101678744126
11727785_s_at,9.16,9.89,9.39,6.83,7.32,6.62,-2.5566666666666675,0.0010278893536083298,8.548647780905913,0.03617158165572044
11717345_a_at,10.93,11.56,12.65,7.51,7.19,7.35,-4.363333333333334,0.0010310918390638993,8.541700986203212,0.0025794164936067776
11724324_a_at,5.68,6.93,6.39,3.34,3.17,3.1,-3.13,0.0010578742472110143,8.484631859561889,0.02300067302030636
11716561_x_at,8.72,8.75,8.51,7.04,6.35,6.9,-1.8966666666666656,0.0010608584853696308,8.47838386104357,0.0010417460471489849
11716128_at,9.72,9.16,9.67,7.07,7.52,6.76,-2.4000000000000004,0.001075042636310067,8.448981791176307,0.002060251215152549
11719665_a_at,8.16,7.53,7.38,5.19,4.82,5.45,-2.536666666666667,0.0010835150507440905,8.4316477349126,0.024390921330799824
11725944_a_at,9.3,8.87,8.93,7.14,7.45,7.62,-1.63,0.0011085706519159868,8.381352055585703,0.04100474170094538
11718400_a_at,10.61,9.6,9.49,5.57,6.54,5.56,-4.010000000000001,0.0011435864594950371,8.313373421808372,0.002777669164644967
11728034_a_at,5.79,6.02,6.49,4.37,4.14,4.35,-1.8133333333333326,0.0011558669582045333,8.290140423398476,0.028384771847920705
11725718_a_at,12.61,12.4,12.3,10.76,10.71,11.22,-1.540000000000001,0.001167465204577306,8.268477066817352,0.03256433530106007
11715467_s_at,11.65,11.55,11.09,9.84,9.88,10.04,-1.5100000000000016,0.0011752318370900879,8.254118855919723,0.00018829085683088985
11730741_a_at,8.78,8.37,8.25,5.4,3.94,4.83,-3.743333333333333,0.0011812334709361625,8.243103831437649,0.04099295652129289
11722022_s_at,7.31,7.7,6.81,4.83,4.34,4.91,-2.58,0.0011841518738266116,8.237772583984473,0.00855650580788549
11720104_a_at,9.08,7.9,8.59,5.72,5.51,5.24,-3.033333333333334,0.0011984575332174,8.211872710910438,0.00742849399792425
11725729_s_at,7.89,8.28,7.36,5.05,5.29,5.59,-2.533333333333333,0.0012058558033725673,8.198628093675822,0.022444095649587634
11717020_a_at,8.5,9.15,8.92,7.14,6.97,6.66,-1.9333333333333345,0.001220293631397418,8.173068387245358,0.008448820136886534
11720286_a_at,9.1,9.18,9.55,6.63,7.38,7.24,-2.1933333333333342,0.0012269068272048186,8.161485535969913,0.005553003432777974
11720062_s_at,10.12,9.6,11.08,6.76,6.11,6.41,-3.839999999999999,0.0012461534685876121,8.128210445604923,0.012414810558566485
11718976_x_at,6.7,6.96,6.7,4.0,4.34,4.95,-2.3566666666666665,0.0012654516610815312,8.09547881466915,0.0036897805037840728
11730110_a_at,9.03,9.95,9.17,4.48,5.97,5.18,-4.173333333333333,0.0012780783720922678,8.074395173764952,0.03499329153581413
11722840_s_at,7.63,6.77,6.97,4.75,4.09,3.99,-2.846666666666666,0.0012792662182051304,8.072425022690645,0.024349395160281805
11720510_a_at,7.08,7.69,6.39,3.62,4.07,3.85,-3.2066666666666666,0.0012806796961931815,8.070083588187778,0.013598068363235443
11715587_at,9.0,9.72,9.3,5.76,6.73,5.6,-3.3099999999999996,0.0012807477715296874,8.069970901723627,0.001823767733750824
11717243_x_at,8.69,9.47,8.53,6.16,5.95,6.52,-2.6866666666666665,0.001306693600542407,8.027553977076417,0.001409054617663495
11721513_a_at,7.54,8.3,8.93,3.19,4.48,3.91,-4.3966666666666665,0.001313379125571954,8.016792958456104,0.03193411727891701
11716385_at,10.38,10.29,10.33,6.96,7.98,7.96,-2.7,0.0013271988557600205,7.994762045590304,0.0011418414341884064
11718365_s_at,9.31,9.77,9.62,7.78,7.21,6.92,-2.263333333333331,0.0013911293613738356,7.896416569831287,0.007867898704896407
11718405_a_at,8.77,8.83,9.08,5.03,6.23,6.12,-3.0999999999999988,0.0014181148726988674,7.856568189535053,0.004225601978317738
11716990_at,8.72,8.25,8.13,6.63,6.74,6.25,-1.826666666666667,0.0014374623345609393,7.828571428571429,0.0015376479619161278
11718778_s_at,7.86,7.66,7.99,5.0,5.92,5.7,-2.296666666666666,0.001439954030762844,7.824999706390057,0.004386479725952397
11715892_a_at,8.53,7.45,8.22,5.49,4.94,5.36,-2.8033333333333355,0.001488785424660659,7.756507327423938,0.0005891684430443013
11715979_x_at,9.63,9.91,9.88,8.31,7.61,7.58,-1.9733333333333336,0.0014901413454051927,7.754645252521242,0.0009223439145561078
11717665_a_at,5.57,6.16,5.98,2.94,3.49,3.86,-2.4733333333333336,0.0014952241355968158,7.7476836992666005,0.0035462721457215148
11722241_x_at,5.8,6.04,6.13,4.41,4.65,4.01,-1.6333333333333329,0.0015016834472051917,7.738878920384725,0.013631555297049128
11727837_at,7.55,7.11,6.77,5.14,4.57,4.42,-2.4333333333333336,0.0015077848706492108,7.7306048843822355,0.03103088731901683
11720034_x_at,8.96,8.55,8.38,7.22,6.85,6.79,-1.6766666666666676,0.0015488025026915249,7.67603533067458,0.005820236176199731
11720985_at,8.63,8.08,8.25,6.09,6.53,5.7,-2.213333333333334,0.0015760455220278158,7.640769328556082,0.010538764837537117
11717060_a_at,10.04,9.73,9.5,8.04,7.29,7.77,-2.0566666666666666,0.001581205680671433,7.634174381920436,0.001974613045120032
11728271_at,6.99,6.45,6.16,4.29,3.41,3.55,-2.783333333333334,0.001598196686794633,7.612645600336513,0.03932211981870442
11721136_a_at,9.45,9.53,10.07,6.74,7.49,6.44,-2.7933333333333312,0.0016155555188213928,7.59094095011167,0.013803042171325695
11715531_at,9.79,9.87,9.43,8.02,7.82,8.39,-1.6199999999999992,0.0016590263719366834,7.537828583526604,0.0012802490745283729
11730991_a_at,7.66,6.97,8.44,4.57,3.94,4.08,-3.493333333333334,0.0016883523884946856,7.50296029054374,0.047511605894967356
11724056_a_at,8.62,8.38,8.14,7.08,6.88,6.56,-1.540000000000001,0.001688717232170038,7.502531218431848,0.01853164468255759
11715757_a_at,11.33,12.05,11.32,7.84,6.13,5.89,-4.946666666666668,0.001693057154442339,7.497436048206906,0.00046166462567101595
11716515_x_at,9.61,9.6,9.41,6.38,5.71,4.57,-3.9866666666666672,0.0017002257707103947,7.489055167535087,0.0029759500143574256
11718253_a_at,9.28,9.73,10.3,7.17,7.41,6.72,-2.669999999999999,0.0017228602898774292,7.462876874905539,0.014012884459935716
11721754_x_at,9.47,9.22,9.26,7.18,7.46,6.46,-2.283333333333334,0.001761669218260038,7.4189659467121905,0.012718935738160408
11718031_a_at,10.39,10.45,10.88,6.45,7.95,7.08,-3.413333333333332,0.0017811179835261978,7.397407422359727,0.005216867479529565
11719857_a_at,11.29,10.98,11.41,8.16,7.87,9.08,-2.8566666666666674,0.0017882461425747522,7.389578716405151,0.030416457808218604
11717817_a_at,4.75,4.36,4.51,2.93,2.38,3.06,-1.7499999999999996,0.001803284356991903,7.373188274108003,0.004917307649225285
11716449_a_at,9.57,9.44,9.56,7.99,8.29,7.56,-1.576666666666667,0.0018704152361214586,7.302026436941738,0.0015007507652641547
11724517_s_at,6.85,6.87,7.66,5.06,5.22,4.87,-2.076666666666666,0.001892104116167335,7.279706648712995,0.02965123565740873
11722572_at,10.41,10.19,9.91,5.31,6.32,7.11,-3.923333333333334,0.0019144853706865742,7.257003119653059,0.011732997573610002
11721477_a_at,8.53,8.33,8.98,6.41,6.91,6.16,-2.12,0.0019235583392527775,7.247892662832971,0.01321380014125228
11715691_s_at,9.59,9.09,10.51,6.19,5.4,6.4,-3.7333333333333316,0.0019275312187182429,7.243920053758291,0.0034810697358519543
11717550_a_at,8.04,6.72,7.31,4.46,4.54,3.99,-3.0266666666666655,0.0019400731503543683,7.231444999298303,0.010222281301206242
11720315_x_at,9.22,9.41,9.37,7.82,6.9,7.39,-1.9633333333333338,0.0019532544814360718,7.218440804907261,0.005719368467557115
11717255_x_at,9.2,9.89,9.91,6.84,7.68,7.17,-2.4366666666666665,0.001960679391870701,7.211163278360159,0.002126331839480635
11719757_s_at,6.66,7.02,6.26,4.96,5.04,5.11,-1.6099999999999994,0.001976115224291246,7.196142140703724,0.004981772918933051
11720665_s_at,10.3,10.67,10.5,9.05,9.18,8.56,-1.5600000000000005,0.0019818010980359466,7.1906454811971345,0.01211503532023871
11718487_x_at,8.95,8.95,8.98,6.46,7.24,7.31,-1.956666666666666,0.0019951916077987812,7.177777124553307,0.0031376381705664393
11719064_a_at,5.82,6.82,6.76,4.22,3.81,3.91,-2.486666666666666,0.0019969835488616206,7.176063147611664,0.005180784367875071
11721018_at,8.06,8.62,8.83,6.11,6.36,6.74,-2.0999999999999988,0.0020285440590911002,7.146183329663686,0.006381678653240773
11721680_a_at,7.5,8.48,8.26,5.96,5.69,5.95,-2.213333333333333,0.0020291977773957436,7.145570499610946,0.03744363311878789
11715482_a_at,6.19,7.16,7.09,4.15,4.59,3.99,-2.5700000000000003,0.002039950645630963,7.135525022361971,0.0004013672838103735
11717146_at,10.82,9.86,10.08,7.85,6.93,6.91,-3.0233333333333325,0.0020596569354054614,7.117283653261628,0.0014342249666501612
11715677_x_at,9.24,9.05,9.3,5.81,5.72,7.02,-3.0133333333333345,0.002105241196677376,7.075900930183928,0.0011139482181125732
11726592_at,5.47,5.78,6.5,3.78,3.76,3.53,-2.2266666666666675,0.0021246516897688865,7.0586137863031855,0.021849172519062085
11726977_s_at,7.54,8.0,8.73,5.21,5.31,4.45,-3.1000000000000005,0.002143030805581711,7.042423851226712,0.03624009946630694
11716349_a_at,9.72,9.88,9.73,7.14,8.14,7.78,-2.09,0.002148270787084362,7.037839374882733,0.0011163628011728794
11720486_a_at,6.74,7.8,6.97,4.87,4.9,4.54,-2.3999999999999995,0.0021705918579978806,7.018464001769027,0.008174343208626691
11716657_at,7.88,7.76,8.29,5.97,6.5,5.77,-1.8966666666666674,0.002178863763449364,7.011346060516621,0.0011767447168912729
11717660_a_at,9.43,10.06,9.15,7.27,7.56,7.67,-2.046666666666667,0.002248068065380588,6.953072466344389,0.0021047433533252623
11718720_a_at,7.13,7.4,8.06,4.14,5.06,3.84,-3.1833333333333345,0.0022762902234311436,6.929939684465528,0.014323449078308894
11723954_s_at,7.76,7.5,8.34,5.89,5.03,5.35,-2.4433333333333342,0.002286995860401255,6.921256977277069,0.026212854708269652
11724651_a_at,7.93,8.26,8.67,4.58,5.54,5.81,-2.9766666666666675,0.0022903683822431404,6.918532101145002,0.033111630874220664
11715766_a_at,9.49,11.13,11.38,6.71,5.97,5.91,-4.47,0.0022912809930583588,6.9177955949684415,0.0007365827606475004
11719275_a_at,9.37,9.65,9.92,7.7,6.57,6.8,-2.623333333333333,0.0022997753942287885,6.910957646760071,0.00467193538385344
11722040_a_at,6.64,6.38,5.76,4.16,4.47,4.41,-1.913333333333334,0.002327674257988143,6.88871646377029,0.008029470810032479
11724226_at,10.52,10.27,9.82,7.4,8.33,7.9,-2.3266666666666653,0.0023307364462610385,6.886295294072544,0.04628032299495331
11723401_x_at,9.69,9.88,10.24,8.19,8.6,7.97,-1.6833333333333353,0.0023551972221153216,6.867094701907823,0.02374932150500055
11718124_a_at,8.5,8.12,8.43,5.5,6.4,5.16,-2.663333333333332,0.002356894669095797,6.8657714134018,0.0029448380025953952
11720647_a_at,6.08,5.86,6.07,4.25,3.52,4.41,-1.9433333333333342,0.002360326719234146,6.863099456247266,0.005569830917470674
11720965_at,7.12,6.53,6.2,4.78,4.39,4.24,-2.1466666666666674,0.0023818954941823497,6.846416414557256,0.011599012906749737
11731031_at,6.91,7.05,7.61,4.3,5.22,4.95,-2.366666666666667,0.0024111491366134107,6.824084504917421,0.04174472548731494
11718981_a_at,10.84,10.53,10.22,6.95,8.25,7.79,-2.8666666666666663,0.0024216198644673934,6.816172297318551,0.007006636655579225
11720782_a_at,9.72,9.93,9.46,7.64,8.37,7.82,-1.7600000000000007,0.002422757878286429,6.815314898150086,0.013812933745322295
11717076_s_at,8.92,8.95,8.7,5.67,6.71,5.27,-2.9733333333333327,0.0024240734687389185,6.8143243281357275,0.0038763478570088272
11716685_s_at,6.96,6.45,7.18,4.13,4.12,2.9,-3.1466666666666665,0.0024294929455988806,6.810250724975189,0.009417590079417702
11721285_a_at,7.41,6.96,6.9,4.38,4.93,5.35,-2.203333333333335,0.0024340405452557157,6.806841109947877,0.017530963496940204
11728238_x_at,5.79,5.9,6.62,3.84,4.17,3.43,-2.2900000000000014,0.0024490346688217386,6.795654476587698,0.030305330740084964
11717856_a_at,9.0,8.87,8.21,5.18,5.98,6.34,-2.8600000000000003,0.002454236657834432,6.791793147895096,0.020955391048489928
11721088_a_at,7.84,7.92,7.42,5.06,5.55,4.25,-2.7733333333333334,0.002481333939564756,6.771841235570632,0.03702160601810622
11717403_a_at,10.32,10.52,9.96,6.77,7.85,6.3,-3.293333333333335,0.0024984743960331105,6.759358733918354,0.001815789752188887
11719371_a_at,8.51,8.23,9.21,6.6,6.75,6.47,-2.043333333333334,0.0025032881950727654,6.75587206514613,0.022768578136461885
11716101_s_at,9.58,9.37,9.29,7.63,7.49,6.64,-2.1599999999999984,0.0025460824499445455,6.725234620292061,0.0008781402911597903
11721347_a_at,10.11,10.13,9.56,5.72,4.9,6.9,-4.093333333333335,0.002563439097630265,6.712988915787532,0.019438715926191872
11716053_a_at,8.3,9.5,7.97,5.32,5.57,5.02,-3.286666666666666,0.002596843755740946,6.689705786191199,0.0007353961141481563
11726037_a_at,6.84,6.13,6.25,4.68,3.97,3.89,-2.2266666666666657,0.002613845304736894,6.677996901349336,0.024443060009739368
11717186_a_at,9.24,8.24,8.19,5.43,5.89,4.73,-3.206666666666666,0.002615981945421226,6.6765320451774794,0.003106272125095735
11715499_x_at,8.84,9.05,9.34,7.04,7.66,7.61,-1.6399999999999997,0.0026336298376811256,6.664488940949386,0.000473901249873603
