gene,A7-A0D9-11A,A7-A0DB-11A,A7-A13G-11A,A7-A0D9-01A,A7-A0DB-01A,A7-A13G-01A
ABHD5|51099,7926,5202,18480,4931,4535,4390
ABHD6|57406,2378,2028,2259,828,1107,691
ABHD8|79575,668,750,417,1858,1957,855
ABI1|10006,5008,6213,4315,8069,6592,6154
ABI2|10152,3012,3557,3371,8084,5747,6431
ABI3BP|25890,23969,39217,10327,961,2183,529
ABI3|51225,690,930,202,447,1174,515
ABL1|25,12182,13372,6262,7897,11673,8944
ABL2|27,5001,5524,4219,6237,7733,7560
ABLIM1|3983,43908,39516,30055,7659,17067,16639
ABLIM2|84448,542,337,199,1556,600,639
ABLIM3|22885,15452,13280,17054,7802,5905,9329
ABO|28,129,203,79,565,55,5
ABP1|26,186,140,111,2366,224,357
ABRA|137735,7,4,11,13,13,9
ABR|29,6676,9056,5704,18261,10480,10990
ABT1|29777,1757,1348,1024,2157,2417,1631
ABTB1|80325,3869,3480,1905,3094,1776,933
ABTB2|25841,475,340,133,754,360,400
ACAA1|30,6845,6027,3723,5869,11377,7261
ACAA2|10449,20219,22221,27090,3999,6631,4033
ACACA|31,13256,10411,22613,6070,13242,16566
ACACB|32,66226,64264,122704,8242,5630,2734
ACAD10|80724,2817,1968,2136,4097,2475,3396
ACAD11|84129,6935,3017,6189,2654,2000,1607
ACAD8|27034,2054,2046,2311,2962,3624,2700
ACAD9|28976,5794,4043,3407,5854,6562,2526
ACADL|33,2926,1586,3011,83,109,15
ACADM|34,8640,5535,15268,4813,6593,447
ACADSB|36,6321,3123,9872,8656,9470,33195
ACADS|35,7103,7475,4323,1205,2192,3430
ACADVL|37,36365,34616,21794,13434,20842,18563
ACAN|176,61,100,188,492,183,132
ACAP1|9744,345,250,163,165,254,114
ACAP2|23527,6662,7323,7541,7208,7594,7805
ACAP3|116983,2156,1897,1004,4882,2397,2956
ACAT1|38,17156,12417,20401,10905,7710,6572
ACAT2|39,1522,938,1330,2556,2772,2368
ACBD3|64746,4911,5585,4008,7983,17404,18662
ACBD4|79777,1719,1119,679,2283,1235,937
ACBD5|91452,5251,3956,4489,7285,3679,6750
ACBD6|84320,2204,1826,1433,3766,5178,3705
ACBD7|414149,276,260,235,568,474,535
ACCN1|40,5,18,3,90,7,12
ACCN2|41,352,652,304,1378,663,519
ACCN3|9311,53,6,12,134,48,125
ACCN4|55515,3,3,6,45,22,18
ACCN5|51802,0,0,0,0,0,0
ACCSL|390110,0,0,0,1,0,0
ACCS|84680,1533,1151,1533,1886,655,774
ACD|65057,970,847,522,1358,1055,676
ACE2|59272,312,65,112,23,17,3
ACER1|125981,0,2,4,40,1,2
ACER2|340485,1630,1217,2409,1268,874,761
ACER3|55331,4231,4077,6032,4029,1061,1083
ACE|1636,5054,8387,3212,11041,3240,4296
ACHE|43,86,19,17,224,23,20
ACIN1|22985,10347,11681,6840,19778,18801,23102
ACLY|47,11852,13865,9590,22083,24040,28005
ACMSD|130013,1,0,2,18,109,821
ACN9|57001,672,710,605,1175,1277,321
ACO1|48,50416,31412,38806,7193,9711,3405
ACO2|50,18786,11517,14690,19881,8277,12993
ACOT11|26027,316,262,240,801,290,171
ACOT12|134526,0,0,1,2,0,1
ACOT13|55856,3891,3571,2781,3452,2441,3225
ACOT1|641371,4817,3901,5209,1313,3860,1571
ACOT2|10965,9587,6413,7818,2836,5940,3417
ACOT4|122970,1342,686,989,1210,2834,2568
ACOT6|641372,206,66,89,18,44,39
ACOT7|11332,1015,1570,353,2591,1153,1014
ACOT8|10005,1059,1115,726,1157,2476,1313
ACOT9|23597,3114,3624,2212,1497,2394,1172
ACOX1|51,20261,14323,16822,3751,7653,9001
ACOX2|8309,2924,1749,2124,835,1236,3047
ACOX3|8310,2098,1667,1095,2893,4311,4253
ACOXL|55289,49,23,27,83,14,20
ACP1|52,4188,3949,3551,7944,8242,6495
ACP2|53,4860,6574,2444,3102,8668,5295
ACP5|54,4461,10207,680,4888,17928,8149
ACP6|51205,726,521,514,1207,2643,1256
ACPL2|92370,1112,1353,730,1893,4982,2603
ACPP|55,107,269,40,364,439,92
ACPT|93650,1,0,1,9,7,4
ACRBP|84519,265,283,72,104,120,330
ACRC|93953,132,152,153,136,116,258
ACRV1|56,2,2,3,18,5,1
ACR|49,57,69,35,28,13,23
ACSBG1|23205,100,67,30,160,26,16
ACSBG2|81616,18,2,6,17,15,19
ACSF2|80221,6595,4663,6907,1715,7335,2849
ACSF3|197322,1304,1187,706,2574,1411,1081
ACSL1|2180,173537,120559,289699,10814,22380,4417
ACSL3|2181,8074,10131,6456,63338,25578,14846
ACSL4|2182,11649,14909,8205,2764,4140,1270
ACSL5|51703,4115,5069,3111,718,2862,1575
ACSL6|23305,19,32,4,253,105,62
ACSM1|116285,14,18,5,15,490,354
ACSM2A|123876,64,155,114,63,45,45
ACSM2B|348158,27,71,60,0,11,0
ACSM3|6296,83,95,92,89,428,293
ACSM4|341392,12,6,5,19,9,12
ACSM5|54988,6299,7268,6118,178,608,113
ACSS1|84532,1473,2374,1358,4372,5700,8066
ACSS2|55902,29395,22178,27153,4275,5474,3258
ACSS3|79611,7080,4837,12931,4492,1671,1185
ACTA1|58,20,13,11,85,119,241
ACTA2|59,12884,19439,16353,40522,41684,12164
ACTBL2|345651,0,0,0,22,4,0
ACTB|60,281444,361980,141033,447956,563956,177937
ACTC1|70,20,26,90,2,3,0
ACTG1|71,136817,177973,73190,177002,426656,334084
ACTG2|72,850,974,948,852,4654,1254
ACTL6A|86,2626,2653,1930,7795,7229,4845
ACTL6B|51412,0,0,0,0,2,2
ACTL7A|10881,0,0,0,2,2,0
ACTL7B|10880,0,0,0,0,2,0
ACTL8|81569,0,0,2,8,12,4
ACTL9|284382,0,0,0,0,0,0
ACTN1|87,25851,14291,10960,31922,31315,20781
ACTN2|88,11,33,45,6,10,8
ACTN3|89,9,5,8,7,5,1
